Vehicle_ID,Brand,Vehicle_Type,Year,Fuel_Type,Transmission,Engine_CC,Cylinders,Horsepower,Torque_Nm,Mileage_KMPL,Top_Speed,Acceleration_0_100,Fuel_Tank_Capacity,Length_mm,Width_mm,Height_mm,Wheelbase_mm,Ground_Clearance_mm,Kerb_Weight_kg,Seating_Capacity,Airbags,ABS,ESP,Sunroof,Touchscreen_Size,Battery_Capacity_kWh,Charging_Time_Hours,Range_KM,Price_USD,Insurance_Cost,Annual_Maintenance,Resale_Value,Owner_Count,Service_Count,Warranty_Years,Crash_Rating,CO2_Emission,NOx_Emission,Tire_Size,Brake_Disc_Size,Drive_Type,Navigation_System,Bluetooth,Rear_Camera,Parking_Sensors,Cruise_Control,Lane_Assist,Adaptive_Cruise,Blind_Spot_Monitor,Autonomous_Level,City_Mileage,Highway_Mileage,Engine_Temperature,Oil_Consumption,RPM_Max,Gear_Count,Headlight_Type,Color_Code,Manufacturing_Plant,Sales_Last_Year,Market_Share,Customer_Rating,Review_Count,Recall_Count,Road_Tax,Registration_Fee,Import_Duty,Luxury_Index,Performance_Index
V1000,Mercedes,SUV,2023,Diesel,Automatic,1660,10,342,342,25.18,307,13.55,41,3372,1618,1374,3228,187,2937,3,9,1,1,0,12.2,118.5,1.3,512,37241,1876,648,13561,3,7,5,2,66,133,20,209,1,0,0,1,0,1,0,1,1,1,24.54,11.34,89,2.68,5303,8,2,885,15,3966,24.54,4.3,1391,8,2863,203,11336,8.5,4.5
V1001,Mahindra,SUV,2016,Diesel,Manual,4572,2,692,843,14.76,220,10.11,90,3852,1873,1734,2803,257,1453,7,7,0,0,0,13.5,113.3,6.3,706,19745,2748,3523,68061,3,14,4,3,299,66,21,441,3,1,1,1,0,1,0,1,0,3,7.21,20.3,118,0.14,5134,8,2,195,16,32345,13.23,4.1,3355,0,3763,1512,2093,8.2,6.0
V1002,Hyundai,Coupe,2017,Electric,Manual,3892,10,687,223,23.93,127,4.47,48,3953,1564,1402,2881,186,1119,6,5,0,1,1,15.8,4.7,13.2,494,34029,3236,411,90397,2,7,9,5,57,79,14,257,1,1,1,0,1,0,1,1,1,3,13.45,23.61,102,1.17,6186,9,2,825,18,44824,22.67,2.5,4136,3,1581,1368,12905,8.4,5.5
V1003,Mercedes,Truck,2012,Petrol,Manual,1266,8,318,425,34.43,172,10.37,105,4443,1645,1721,2733,228,2373,4,5,0,1,0,7.7,84.7,14.2,319,131395,3417,3020,51153,1,16,8,4,258,6,18,387,1,0,1,0,1,1,0,0,0,0,5.84,28.87,81,0.18,7170,8,1,393,14,71454,4.18,3.2,3608,3,3831,268,7071,9.4,2.7
V1004,Toyota,Van,2023,Diesel,Automatic,4244,10,418,703,21.14,179,10.1,38,4281,1723,2003,3037,265,2628,8,7,0,1,1,5.1,111.0,7.0,505,97186,891,1182,35142,1,11,4,2,129,13,20,431,2,0,1,1,1,0,0,0,0,4,19.8,38.42,84,1.24,7835,5,3,308,3,51474,16.11,4.2,2584,8,551,718,7967,5.9,8.7
V1005,Toyota,Truck,2013,Petrol,Automatic,3971,9,515,651,32.46,227,5.6,100,4883,1738,2063,2844,230,2717,4,6,0,0,0,6.8,21.7,9.2,340,145612,3020,3814,28916,3,7,1,3,214,72,17,220,3,1,1,1,0,0,0,0,1,1,23.36,27.22,110,1.62,6151,9,3,442,12,30216,20.27,1.2,4074,4,2575,1568,14597,2.8,7.1
V1006,Ford,EV,2023,Diesel,Manual,3719,2,470,960,19.73,124,9.51,57,3655,1676,2037,2432,230,938,7,9,1,0,1,16.7,68.2,2.5,571,105768,1013,3071,66324,1,13,4,4,171,142,17,227,2,1,1,0,1,1,1,1,1,2,10.6,31.8,108,1.58,5237,8,2,187,9,81129,23.69,4.2,3076,4,3322,279,8367,6.6,8.5
V1007,Ford,SUV,2010,Diesel,Manual,930,9,377,81,17.45,222,8.98,107,4028,2278,2105,2723,153,2826,7,9,1,0,0,16.4,109.9,14.9,156,49846,1235,1837,46965,1,3,3,4,257,148,17,402,3,0,1,0,0,1,0,1,0,3,22.17,24.2,71,0.58,7735,9,3,917,7,93674,8.5,1.7,3907,5,1637,69,5285,7.7,8.7
V1008,Ford,Van,2011,Electric,Manual,2485,9,284,976,25.42,315,12.24,81,4094,1781,1605,2545,230,3106,4,7,1,1,0,12.8,4.1,3.5,282,83932,4637,854,6648,1,0,6,2,101,65,19,446,1,0,1,0,0,0,0,1,1,3,10.84,28.29,98,1.97,6834,6,3,875,9,20547,18.15,3.1,290,0,3193,602,10896,7.6,7.7
V1009,Ford,Hatchback,2019,Petrol,Manual,1569,4,293,383,26.06,125,12.53,112,4584,1562,1397,3269,127,1701,8,1,1,1,0,12.8,83.7,14.1,706,31411,301,134,37133,3,0,5,1,208,90,20,233,2,0,0,1,0,0,1,1,1,1,23.22,10.27,110,0.23,8260,6,3,489,13,30531,13.52,4.2,2481,0,982,999,4937,5.7,5.0
